"Run 2: Time (h)","Run 2: Illumination (lux)","Run 2: UVB Intensity (mW/m²)","Run 2: UVA Intensity (mW/m²)"
14:02:14,8331.37573242,32.3263549805,555.805969238
14:02:43,9128.7487793,37.1200561523,615.625
14:03:14,9902.66967773,40.9643554688,673.33984375
14:03:44,10685.3851318,44.8864746094,734.36126709
14:04:13,11608.8134766,48.8864135742,795.082092285
14:04:44,12420.8441162,53.6801147461,856.704711914
14:05:14,13218.2171631,56.8862915039,917.425537109
14:05:43,14050.7684326,61.259765625,981.753540039
14:06:14,14877.456665,65.5865478516,1047.58453369
14:06:44,15718.8024902,71.0961914062,1126.04064941
14:07:13,16557.2167969,75.5786132812,1196.38061523
14:07:44,17498.2342529,79.4540405273,1264.61639404
14:08:14,18363.0322266,83.6407470703,1329.84619141
14:08:43,19207.3095703,88.356628418,1400.78735352
14:09:14,20104.354248,92.8546142578,1469.92492676
14:09:44,20954.4946289,98.3642578125,1541.7678833
14:10:13,21854.4708252,103.251342773,1614.21203613
14:10:44,22763.2415771,108.247375488,1685.45379639
14:11:14,23724.7796631,112.496337891,1764.81170654
14:11:43,24595.4406738,117.881469727,1837.55645752
14:12:14,25504.2114258,122.566223145,1910.00061035
14:12:44,26371.940918,127.904663086,1981.84356689
14:13:13,27266.0540771,132.713928223,2055.79071045
14:13:44,28195.345459,134.92401123,2124.3270874
14:14:14,29077.7325439,145.382995605,2209.99755859
14:14:43,30115.4901123,155.499572754,2294.76623535
14:15:14,30968.5620117,152.542419434,2352.78167725
14:15:44,31818.7023926,157.180480957,2430.63659668
14:16:13,32662.9797363,161.896362305,2503.98254395
14:16:44,33612.791748,165.491638184,2573.12011719
14:17:14,34380.8496094,172.199707031,2646.7666626
14:17:43,592.166748047,13.4161376953,36.9735717773
14:18:14,36330.3094482,185.008850098,2797.36633301
14:18:44,37291.8475342,186.923217773,2873.11706543
14:19:13,38188.8922119,193.677978516,2950.37078857
14:19:44,39091.7999268,199.203186035,3036.34185791
14:20:14,39991.776123,211.903381348,3129.22668457
14:20:43,40891.7523193,207.405395508,3180.92956543
14:21:14,41876.7425537,212.261352539,3250.36773682
14:21:44,42726.8829346,218.004455566,3324.31488037
14:22:13,43597.5439453,222.377929688,3394.65484619
14:22:44,44456.4788818,227.389526367,3468.60198975
14:23:14,45297.824707,232.105407715,3540.74554443
14:23:43,46259.362793,235.59173584,3618.60046387
14:24:14,47112.4346924,242.315368652,3698.55957031
14:24:44,48021.2054443,251.015625,3782.12585449
14:25:13,48812.7154541,256.105041504,3851.86462402
14:25:44,49742.0068359,259.046630859,3921.60339355
14:26:14,50568.6950684,253.256835938,3987.13378906
14:26:43,51415.9039307,270.174865723,4074.90844727
14:27:14,52298.2910156,268.556213379,4131.72149658
14:27:44,53168.9520264,274.657287598,4201.15966797
14:28:13,54024.9554443,277.738952637,4275.10681152
14:28:44,54825.2600098,290.548095703,4351.75933838
14:29:14,55722.3046875,294.906005859,4422.39990234
14:29:43,56513.8146973,287.777709961,4449.45373535
14:30:14,57361.0235596,286.454772949,4533.92181396
14:30:44,57912.1490479,299.123840332,4599.75280762
14:31:13,57988.3685303,301.209411621,4631.61621094
14:31:44,59958.348999,309.473876953,4757.86743164
14:32:14,60914.0240479,314.018554688,4825.8026123
14:32:43,61740.7122803,318.189697266,4891.33300781
14:33:14,62397.3724365,321.800537109,4953.85742188
14:33:44,63174.2248535,327.68371582,5012.17346191
14:34:13,63874.8577881,330.142822266,5072.29309082
14:34:44,64663.4362793,334.14276123,5131.81152344
14:35:14,65367.0007324,337.006530762,5183.81500244
14:35:43,66120.401001,340.601806641,5238.82446289
14:36:14,66988.1304932,345.846862793,5302.85186768
14:36:44,67677.0373535,343.948059082,5346.43859863
14:37:13,68412.8485107,351.683349609,5411.36779785
14:37:44,69025.5358887,356.072387695,5462.46948242
14:38:14,69597.1820068,360.368041992,5525.29449463
14:38:43,70485.4321289,362.60925293,5588.72070312
14:39:14,71103.9825439,365.332946777,5638.01879883
14:39:44,71194.8596191,362.189025879,5597.43804932
14:40:13,71681.4916992,365.768737793,5633.50982666
14:40:44,72505.2484131,368.974914551,5696.33483887
14:41:14,73455.0604248,369.597473145,5700.24261475
14:41:43,74208.4606934,373.426208496,5802.14538574
14:42:14,70649.597168,397.021179199,5888.41705322
14:42:44,90484.251709,519.229431152,9152.0111084
14:43:13,9304.63989258,91.8585205078,2259.89685059
14:43:44,7229.12475586,69.928894043,1921.1227417
14:44:14,9087.70751953,89.7106933594,2244.56634521
14:44:43,9331.02355957,90.5200195312,2278.83453369
14:45:14,9591.92871094,93.7261962891,2331.43920898
14:45:44,9295.84533691,96.62109375,2861.69433594
14:46:13,9539.16137695,106.192932129,2917.60559082
14:46:44,8967.51525879,78.9093017578,3257.28149414
14:47:14,9864.55993652,105.601501465,3110.89019775
14:47:43,9937.84790039,105.788269043,3149.06616211
14:48:14,10005.2728271,106.364135742,3176.42059326
14:48:44,8193.59436035,96.3876342773,2248.47412109
